id,adult_count,child_count,rooms_in_hh,years_in_community,primary_dw_source,daily_hh_water_cost_for_pay_to_fetch,water_storage_drinking_water,coli_mpn,tc_mpn,tap_closure_days_per_week,estimated_storage_capacity_liters,total_people,people_per_room,consumption_risk_score,water_access_score,estimated_non_dw_storage_capacity,estimated_stored_non_dw,avg_price_per_liter_cedis,Leak_Alert
1.0,1.0,0.0,1.0,0.0,1,1.0,0.0,13.444730972413595,100.0,3.0,6057.0,1.0,0.9090909090909091,2.280817883003054,5.360302034252605,0.0,0.0,0.08040615759132325,0.0
2.0,6.0,1.0,1.0,2.0,1,28.0,0.0,13.444730972413595,100.0,3.0,6057.0,7.0,6.363636363636363,15.374306318588076,35.550718031657226,0.0,0.0,0.08040615759132325,1.0
3.0,3.0,1.0,2.0,20.0,1,8.0,1.0,13.444730972413595,100.0,3.0,6057.0,4.0,1.9047619047619047,4.131258056604278,6.532764950585687,50.0,25.0,0.08040615759132325,1.0
4.0,7.0,0.0,1.0,1.0,1,28.0,0.0,13.444730972413595,100.0,3.0,6057.0,7.0,6.363636363636363,15.192008827383615,34.94305972764236,0.0,0.0,0.08040615759132325,0.0
5.0,5.0,5.0,1.0,20.0,1,32.0,0.0,13.444730972413595,100.0,3.0,6057.0,10.0,9.09090909090909,18.01505197884685,37.625930838580416,100.0,70.0,0.08040615759132325,1.0
6.0,5.0,0.0,4.0,40.0,1,15.0,0.0,13.444730972413595,100.0,3.0,6057.0,5.0,1.2195121951219514,8.785110348452646,21.397522299720205,0.0,0.0,0.08040615759132325,0.0
7.0,2.0,1.0,1.0,14.0,1,20.0,0.0,13.444730972413595,100.0,3.0,6057.0,3.0,2.727272727272727,11.524334768463682,31.68717650093954,0.0,0.0,0.08040615759132325,0.0
8.0,3.0,2.0,2.0,30.0,1,19.0,1.0,13.444730972413595,100.0,3.0,6057.0,5.0,2.380952380952381,10.182613768313178,24.894426846758215,300.0,100.0,0.08040615759132325,1.0
9.0,2.0,5.0,1.0,6.0,1,9.0,0.0,13.444730972413595,100.0,3.0,6057.0,7.0,6.363636363636363,9.41888661156301,15.699319008240339,0.0,0.0,0.08040615759132325,0.0
10.0,1.0,1.0,1.0,20.0,1,8.0,0.0,13.444730972413595,100.0,3.0,6057.0,2.0,1.8181818181818181,1.3180596684201824,-0.09131625678121047,0.0,0.0,0.08040615759132325,0.0
11.0,1.0,4.0,1.0,10.0,1,2.0,0.0,13.444730972413595,100.0,3.0,6057.0,5.0,4.545454545454545,3.797175205124541,1.4451294716272596,0.0,0.0,0.08040615759132325,0.0
12.0,2.0,4.0,1.0,30.0,0,34.0,0.0,13.444730972413595,100.0,3.0,6057.0,6.0,5.454545454545454,17.96628088361858,46.433057490849805,0.0,0.0,0.08040615759132325,0.0
13.0,3.0,2.0,1.0,17.0,1,18.0,0.0,13.444730972413595,100.0,3.0,6057.0,5.0,4.545454545454545,10.693363870842646,24.43242502402094,0.0,0.0,0.08040615759132325,0.0
14.0,2.0,5.0,1.0,13.0,1,17.0,0.0,13.444730972413595,100.0,3.0,6057.0,7.0,6.363636363636363,10.756892068245929,20.159337197183397,0.0,0.0,0.08040615759132325,0.0
15.0,7.0,5.0,1.0,20.0,1,8.0,0.0,13.444730972413595,100.0,3.0,6057.0,12.0,10.909090909090908,11.500596627148113,11.426231181402793,400.0,200.0,0.08040615759132325,1.0
16.0,4.0,5.0,4.0,40.0,1,8.0,1.0,13.444730972413595,100.0,3.0,6057.0,9.0,2.1951219512195124,4.178918411544782,-0.2653939127369084,20.0,0.0,0.08040615759132325,0.0
17.0,3.0,3.0,1.0,50.0,1,1.0,0.0,13.444730972413595,100.0,3.0,6057.0,6.0,5.454545454545454,5.9393916056671445,6.343426564345026,100.0,60.0,0.08040615759132325,0.0
18.0,1.0,1.0,1.0,50.0,1,1.0,0.0,13.444730972413595,100.0,3.0,6057.0,2.0,1.8181818181818181,1.1058720521303704,-0.7986083110805835,700.0,700.0,0.08040615759132325,1.0
19.0,3.0,1.0,2.0,38.0,2,2.0,0.0,13.444730972413595,100.0,3.0,6057.0,4.0,1.9047619047619047,2.3049674129167497,0.44512947162725947,300.0,0.0,0.08040615759132325,0.0
20.0,8.0,12.0,12.0,16.0,1,8.0,1.0,13.444730972413595,100.0,3.0,6057.0,20.0,1.6528925619834711,9.686754968991949,3.969624001323025,200.0,100.0,0.08040615759132325,0.0
21.0,2.0,2.0,2.0,40.0,1,8.0,0.0,13.444730972413595,100.0,3.0,6057.0,4.0,1.9047619047619047,1.8440336943942086,-1.0913162567812105,1000.0,1000.0,0.08040615759132325,1.0
22.0,4.0,2.0,1.0,20.0,1,8.0,0.0,13.444730972413595,100.0,3.0,6057.0,6.0,5.454545454545454,4.340506751982663,1.0138103853967548,450.0,400.0,0.08040615759132325,0.0
23.0,1.0,0.0,1.0,30.0,1,8.0,1.0,13.444730972413595,100.0,3.0,6057.0,1.0,0.9090909090909091,1.8113911763374708,3.7955463453673266,300.0,300.0,0.08040615759132325,0.0
24.0,2.0,2.0,2.0,3.0,1,7.0,0.0,13.444730972413595,100.0,3.0,6057.0,4.0,1.9047619047619047,4.818262616283878,8.822780149517687,775.0,150.0,0.08040615759132325,0.0
25.0,5.0,4.0,3.0,30.0,1,4.0,1.0,13.444730972413595,100.0,3.0,6057.0,9.0,2.903225806451613,5.846302659474949,4.58444972513155,300.0,150.0,0.08040615759132325,0.0
26.0,5.0,2.0,1.0,20.0,2,20.0,0.0,13.444730972413595,100.0,3.0,6057.0,7.0,6.363636363636363,14.496438133445047,32.624490747847126,450.0,450.0,0.08040615759132325,0.0
27.0,4.0,3.0,1.0,60.0,1,10.0,0.0,13.444730972413595,100.0,3.0,6057.0,7.0,6.363636363636363,11.073058918695594,21.213226698682288,450.0,225.0,0.08040615759132325,0.0
28.0,1.0,0.0,1.0,3.0,1,4.0,0.0,13.444730972413595,100.0,3.0,6057.0,1.0,0.9090909090909091,3.101868981617823,8.097139029635168,120.0,120.0,0.08040615759132325,0.0
29.0,1.0,0.0,10.0,27.0,2,14.0,0.0,13.444730972413595,100.0,3.0,6057.0,1.0,0.09900990099009901,8.742451204321286,27.709160780080857,150.0,0.0,0.08040615759132325,0.0
30.0,5.0,4.0,2.0,21.0,1,5.0,0.0,13.444730972413595,100.0,3.0,6057.0,9.0,4.285714285714286,6.764244732483856,6.26176815589857,100.0,50.0,0.08040615759132325,0.0
31.0,2.0,2.0,3.0,20.0,1,8.0,1.0,13.444730972413595,100.0,3.0,6057.0,4.0,1.2903225806451613,2.591239889812575,2.013810385396755,200.0,200.0,0.08040615759132325,0.0
32.0,5.0,1.0,2.0,30.0,1,3.0,1.0,13.444730972413595,100.0,3.0,6057.0,6.0,2.857142857142857,4.84610052464785,5.296525558349978,350.0,350.0,0.08040615759132325,1.0
33.0,1.0,0.0,1.0,55.0,1,0.0,0.0,13.444730972413595,100.0,3.0,6057.0,1.0,0.9090909090909091,1.5334123229429621,2.8689501673856315,200.0,155.0,0.08040615759132325,0.0
34.0,2.0,3.0,1.0,9.0,1,8.0,0.0,13.444730972413595,100.0,3.0,6057.0,5.0,4.545454545454545,6.376448722527634,10.042707862970902,350.0,350.0,0.08040615759132325,0.0
35.0,2.0,2.0,3.0,70.0,1,8.0,0.0,13.444730972413595,100.0,3.0,6057.0,4.0,1.2903225806451613,1.9597018971591855,-0.09131625678121047,2000.0,2000.0,0.08040615759132325,1.0
36.0,3.0,2.0,1.0,30.0,1,1.0,1.0,13.444730972413595,100.0,3.0,6057.0,5.0,4.545454545454545,3.724053870312188,1.2013916889194167,500.0,300.0,0.08040615759132325,0.0
37.0,2.0,0.0,1.0,15.0,1,8.0,0.0,13.444730972413595,100.0,3.0,6057.0,2.0,1.8181818181818181,1.2658363716334728,-0.2653939127369084,200.0,200.0,0.08040615759132325,0.0
38.0,3.0,2.0,1.0,17.0,1,8.0,0.0,13.444730972413595,100.0,3.0,6057.0,5.0,4.545454545454545,3.66777947925539,1.0138103853967548,600.0,600.0,0.08040615759132325,0.0
39.0,2.0,3.0,2.0,7.0,1,4.0,1.0,13.444730972413595,100.0,3.0,6057.0,5.0,2.380952380952381,4.571918123029642,6.192108029146424,200.0,200.0,0.08040615759132325,0.0
40.0,5.0,1.0,2.0,29.0,1,3.0,1.0,13.444730972413595,100.0,3.0,6057.0,6.0,2.857142857142857,4.793877227861141,5.122447902394279,760.0,760.0,0.08040615759132325,1.0
41.0,2.0,4.0,1.0,25.0,1,5.0,1.0,13.444730972413595,100.0,3.0,6057.0,6.0,5.454545454545454,7.4559653858901545,11.398672498421726,50.0,50.0,0.08040615759132325,0.0
42.0,3.0,4.0,3.0,70.0,1,4.0,1.0,13.444730972413595,100.0,3.0,6057.0,7.0,2.258064516129032,4.800530975591466,4.410372069175852,375.0,375.0,0.08040615759132325,0.0
43.0,7.0,9.0,3.0,17.0,1,8.0,1.0,13.444730972413595,100.0,3.0,6057.0,16.0,5.161290322580645,9.139274297171102,3.969624001323025,1000.0,1000.0,0.08040615759132325,1.0
44.0,2.0,2.0,1.0,20.0,1,12.0,0.0,13.444730972413595,100.0,3.0,6057.0,4.0,3.6363636363636362,8.095248369961512,18.01446426350807,200.0,200.0,0.08040615759132325,0.0
